"alpha","lambda","mean_pr_auc","mean_roc_auc","mean_brier"
1,0.01,0.186032976202005,0.519743149275839,0.13513551704217
0,0.001,0.175225307031161,0.524090684660961,0.142452229964437
1,0.001,0.168646731600188,0.517146868828176,0.141852862885514
0.5,0.001,0.166567566105817,0.515550423798552,0.142294453806331
0,0.01,0.165115516689546,0.515036105167874,0.140190752912599
0.5,0.01,0.164661635914953,0.508602493416721,0.136718753502495
0,0.1,0.148736705819435,0.501594387755102,0.137425963762042
0.5,0.1,0.145508434955627,0.5,0.137321276760182
1,0.1,0.145508434955627,0.5,0.137321276760182
0,1,0.145508434955627,0.5,0.137321276760182
0.5,1,0.145508434955627,0.5,0.137321276760182
1,1,0.145508434955627,0.5,0.137321276760182
