"alpha","lambda","mean_pr_auc","mean_roc_auc","mean_brier"
1,0.01,0.213304228501787,0.527248601053324,0.129565615572063
0.5,0.01,0.210872151998951,0.527626625246873,0.130829209823953
0,0.01,0.208727998668026,0.531162051514154,0.134186744993977
1,0.001,0.208281570096597,0.53111370556287,0.135678045530289
0.5,0.001,0.207421717879234,0.529139750658328,0.136496402109472
0,0.001,0.207109215526535,0.528103912936142,0.137281674775319
0,0.1,0.206961310207903,0.525111092824226,0.131265534330525
0.5,0.1,0.145508434955627,0.5,0.137321276760182
1,0.1,0.145508434955627,0.5,0.137321276760182
0,1,0.145508434955627,0.5,0.137321276760182
0.5,1,0.145508434955627,0.5,0.137321276760182
1,1,0.145508434955627,0.5,0.137321276760182
