"alpha","lambda","mean_pr_auc","mean_roc_auc","mean_brier"
0.5,0.1,0.312796264499014,0.621189413265306,0.120112007442839
1,0.1,0.288933035178478,0.591402649769585,0.127726155372314
0,1,0.284345182025208,0.623400469058591,0.123935371540896
0,0.1,0.262124361034372,0.625719017445688,0.163261010633677
1,0.01,0.255168203382601,0.607158286701778,0.16590035909408
0,0.01,0.247945384403197,0.608763989466754,0.187989384138436
0.5,0.01,0.24594521044315,0.608822621790652,0.177355594839363
1,0.001,0.236564909256562,0.60925362080316,0.19358535470701
0,0.001,0.234425041948202,0.611079966260698,0.197294539516377
0.5,0.001,0.234406060107754,0.608890511849901,0.1950847591881
0.5,1,0.145508434955627,0.5,0.137321276760182
1,1,0.145508434955627,0.5,0.137321276760182
