"column_name","description_role"
"id","Descriptive only"
"asa_class","Descriptive only"
"preop_demographics_labs_complete","Descriptive only"
"hypertension","Descriptive only"
"hyperlipidemia","Descriptive only"
"cad","Descriptive only"
"prior_mi","Descriptive only"
"atrial_fibrillation","Descriptive only"
"pvd","Descriptive only"
"prior_stroke_tia","Descriptive only"
"osa","Descriptive only"
"ckd","Descriptive only"
"connective_tissue_disorder","Descriptive only"
"immunosuppression","Descriptive only"
"medical_comorbidities_complete","Descriptive only"
"presenting_symptoms___1","Descriptive only"
"presenting_symptoms___2","Descriptive only"
"presenting_symptoms___3","Descriptive only"
"presenting_symptoms___4","Descriptive only"
"presenting_symptoms___5","Descriptive only"
"aneurysm_side","Descriptive only"
"aneurysm_location","Descriptive only"
"aneurysm_size_mm","Descriptive only"
"neck_width_mm","Descriptive only"
"aneurysm_morphology_type","Descriptive only"
"irregular_morphology","Descriptive only"
"aneurysm_multiple_indicato","Descriptive only"
"aneurysm_side_2","Descriptive only"
"aneurysm_location_2","Descriptive only"
"aneurysm_size_mm_2","Descriptive only"
"neck_width_mm_2","Descriptive only"
"aneurysm_morphology_type_2","Descriptive only"
"irregular_morphology_2","Descriptive only"
"aneurysm_side_3","Descriptive only"
"aneurysm_location_3","Descriptive only"
"aneurysm_size_mm_3","Descriptive only"
"neck_width_mm_3","Descriptive only"
"aneurysm_morphology_type_3","Descriptive only"
"irregular_morphology_3","Descriptive only"
"aneurysm_side_4","Descriptive only"
"aneurysm_location_4","Descriptive only"
"neck_width_mm_4","Descriptive only"
"aneurysm_size_mm_4","Descriptive only"
"aneurysm_morphology_type_4","Descriptive only"
"irregular_morphology_4","Descriptive only"
"aneurysm_characteristics_complete","Descriptive only"
"procedure_type","Descriptive only"
"endovascular","Descriptive only"
"procedure_duration_min","Descriptive only"
"reop","Descriptive only"
"reop_type___1","Descriptive only"
"reop_type___2","Descriptive only"
"reop_type___3","Descriptive only"
"reop_type___4","Descriptive only"
"reop_type___5","Descriptive only"
"reop_type___6","Descriptive only"
"reop_type___7","Descriptive only"
"procedure_details_complete","Descriptive only"
"superficial_ssi","Descriptive only"
"deep_ssi","Descriptive only"
"organ_space_ssi","Descriptive only"
"pneumonia","Descriptive only"
"uti","Descriptive only"
"c_diff","Descriptive only"
"sepsis","Descriptive only"
"septic_shock","Descriptive only"
"dvt","Descriptive only"
"pe","Descriptive only"
"renal_insufficiency","Descriptive only"
"reintubation","Descriptive only"
"vent_failure_48h","Descriptive only"
"mi","Descriptive only"
"cardiac_arrest","Descriptive only"
"cva","Descriptive only"
"new_neuro_deficit","Descriptive only"
"coma","Descriptive only"
"return_to_or","Descriptive only"
"death","Descriptive only"
"postop_outcomes_complete","Descriptive only"
