"feature","mean_abs_shap","mean_signed_shap"
"wbc",0.0413531257510185,-0.00442010508775711
"platelets",0.0330802050948143,-0.0102088504195213
"age",0.0269386178612709,0.010738968360424
"diabetes",0.0248576687932014,0.0107405638813972
"bmi",0.0207678178787231,0.000368778967857361
"inr",0.0161617490768433,-0.00207690534591675
"creatinine",0.0148856046557426,-0.00142719250917435
"sex",0.0143149511098862,-0.00316944153308868
"albumin",0.0139296701550484,-0.00353080002069473
"elective_surgery",0.0115359055638313,-0.0115359055638313
"race",0.0109785029649734,-0.00906426813602447
"ptt",0.00755893312692642,0.00569131869077682
"bun",0.00657188551425934,-0.00207847881317139
"alk_phos",0.00635644516944885,0.000507941508293152
"bilirubin",0.0054474799990654,-0.00334703491926193
"ast",0.00470143753290176,0.00124961644411087
"sodium",0.00439483594894409,-3.0773401260376e-05
"copd",0.00399588279724121,-0.00166051297187805
"dyspnea",0.00267959847450256,0.000645310688018799
"admission_source",0.00190091692209244,0.00185562282800674
"coagulopathy",0.000590489733219147,0.000244202411174774
"functional_status",0,0
"smoking",0,0
"heart_failure",0,0
"dialysis",0,0
"active_malignancy",0,0
