"alpha","lambda","mean_pr_auc","mean_roc_auc","mean_brier"
0.5,0.1,0.288046818209328,0.592586611257406,0.123766239896194
0,1,0.275541595641776,0.624132858788677,0.122590251132088
0,0.1,0.24434771040975,0.610936471362739,0.162851881275082
0.5,0.01,0.235775105389785,0.598040446017116,0.186913698133824
1,0.01,0.233442608225801,0.607171144667544,0.174425680374188
1,0.1,0.233079668398963,0.542063034891376,0.131589034880323
1,0.001,0.22797696291455,0.599065483048058,0.210348180606501
0,0.01,0.217292700096081,0.597642363396972,0.200536328945968
0,0.001,0.215694023162548,0.594892815997367,0.213239131403914
0.5,0.001,0.214453661137221,0.586587598749177,0.216400482106037
0.5,1,0.145508434955627,0.5,0.137321276760181
1,1,0.145508434955627,0.5,0.137321276760181
