"alpha","lambda","mean_pr_auc","mean_roc_auc","mean_brier"
1,0.1,0.277977903884683,0.606938672646478,0.127781128448677
0.5,0.1,0.272726852583766,0.599273782093483,0.124549228444672
0,0.1,0.240782710094678,0.612311759381172,0.170067793477089
0,1,0.239414407142566,0.616638207702436,0.127704494383386
1,0.01,0.232970223152862,0.609954637096774,0.173569461666645
0,0.01,0.226645027812451,0.596318507241606,0.198733598123054
0.5,0.01,0.221896489473798,0.599434249506254,0.186984171237488
1,0.001,0.219973280086429,0.589907525510204,0.205482866219123
0.5,0.001,0.219637493142318,0.594847041639236,0.206387970593691
0,0.001,0.219483160274284,0.594345580974325,0.20765575024155
0.5,1,0.145508434955627,0.5,0.137321276760182
1,1,0.145508434955627,0.5,0.137321276760182
