"arm","model_name","pr_auc","roc_auc","brier_score","calibration_slope","sensitivity","specificity","ppv","npv"
"Original","xgboost",0.190165426947825,0.503787878787879,0.10659964966619,0.289025934528779,0,1,,0.88
"Original","random_forest",0.15482383282133,0.460227272727273,0.1145808,-0.145326139308547,0,1,,0.88
"Original","ann",0.144183612622151,0.458333333333333,0.144010420681485,-0.0805698861043356,0,0.954545454545455,0,0.875
"Original","knn",0.142366332497911,0.479166666666667,0.118512396694215,-0.0190103609193765,0,1,,0.88
"Original","elastic_net",0.129729443004536,0.5,0.12,,0,1,,0.88
"SMOTE","random_forest",0.26617087688734,0.40530303030303,0.12345688,-0.662161749128869,0,1,,0.88
"SMOTE","ann",0.197141442568272,0.535984848484849,0.20961868505055,0.0644793010213821,0.333333333333333,0.795454545454545,0.181818181818182,0.897435897435897
"SMOTE","elastic_net",0.157165957823853,0.560606060606061,0.121866045567032,0.0527504939522881,0,1,,0.88
"SMOTE","xgboost",0.154367870941219,0.477272727272727,0.127758289692716,-0.177858584256688,0,1,,0.88
"SMOTE","knn",0.0988680077110928,0.352272727272727,0.18,-1.33520478889575,0,0.931818181818182,0,0.872340425531915
"Weighted","xgboost",0.266545150755677,0.446969696969697,0.209030115871551,-0.0273246629257598,0.166666666666667,0.795454545454545,0.1,0.875
"Weighted","ann",0.202203025732438,0.535984848484849,0.231931492669353,0.0531679567083976,0.166666666666667,0.772727272727273,0.0909090909090909,0.871794871794872
"Weighted","random_forest",0.131043615882326,0.450757575757576,0.11152584,-0.276053679465026,0,1,,0.88
"Weighted","elastic_net",0.123409603556662,0.454545454545455,0.119389752607454,-0.0525865458937462,0,1,,0.88
