"arm","model_name","pr_auc","roc_auc","brier_score","calibration_slope","sensitivity","specificity","ppv","npv"
"Original","xgboost",0.259218187820081,0.625157188766243,0.115127267277363,0.827447281706806,0.0441176470588235,0.997624703087886,0.75,0.865979381443299
"Original","random_forest",0.253686526498957,0.58753667737879,0.118598413087935,0.436376911179909,0.0588235294117647,0.997624703087886,0.8,0.867768595041322
"Original","elastic_net",0.221700519981404,0.527036467793768,0.135972035837618,0.200992005727389,0.0147058823529412,1,1,0.862704918032787
"Original","knn",0.207367795677974,0.588671929579433,0.122967803147669,0.0511500145087142,0,0.997624703087886,0,0.860655737704918
"Original","ann",0.186932765934223,0.576690652508034,0.16289040846149,0.100529653181076,0.102941176470588,0.921615201900237,0.175,0.864142538975501
"SMOTE","elastic_net",0.234293501383155,0.548641190442923,0.128333818232795,0.0372904394508182,0.0735294117647059,0.995249406175772,0.714285714285714,0.869294605809129
"SMOTE","xgboost",0.201271479251652,0.60063574123236,0.144491163153046,0.489989315522583,0.0735294117647059,0.959619952494062,0.227272727272727,0.865096359743041
"SMOTE","ann",0.190630685463849,0.566700433142378,0.289274737955409,0.0102773636363882,0.5,0.667458432304038,0.195402298850575,0.892063492063492
"SMOTE","knn",0.187766306201328,0.54100880257091,0.274483072029084,0.0169907534234715,0.367647058823529,0.69833729216152,0.164473684210526,0.872403560830861
"SMOTE","random_forest",0.170683432790759,0.564482324996507,0.14305626993865,0.228102205961011,0.0441176470588235,0.96437054631829,0.166666666666667,0.861995753715499
"Weighted","xgboost",0.240309760634405,0.617821713008244,0.210067615661072,0.825427368242748,0.441176470588235,0.73396674584323,0.211267605633803,0.890489913544669
"Weighted","elastic_net",0.208240658045223,0.54762819617158,0.1312888375977,0.039667127171527,0.0147058823529412,1,1,0.862704918032787
"Weighted","ann",0.177169655157866,0.562281682269107,0.272964281566888,0.0201438273936615,0.544117647058823,0.534441805225653,0.158798283261803,0.87890625
"Weighted","random_forest",0.157040067460711,0.504279027525499,0.126344032719836,0.0134818158614785,0,1,,0.860940695296524
